Feature,Value
Intercept,179.35367647058825
Coefficient_1,2.839346917064137
Coefficient_2,0.08310224172811687
Coefficient_3,1.816962375670284
Coefficient_4,1.3890635597837964
Coefficient_5,0.1224585888689223
Coefficient_6,-3.3822932010887476
Coefficient_7,-1.399659261725499
Coefficient_8,-0.9891224289143985
Coefficient_9,10.654385575653253
Coefficient_10,-0.02942651253814399
Coefficient_11,3.163408126589886
Coefficient_12,0.10488542246767868
Coefficient_13,0.3073403213804289
Coefficient_14,2.820475889877504
Coefficient_15,-8.312141940634183
Coefficient_16,-5.663012945272489
Coefficient_17,1.3891697524909068
Coefficient_18,-2.3697339451896426
Coefficient_19,1.8649700622183472
Coefficient_20,4.4698512817921445
Coefficient_21,-2.4961187785560073
Coefficient_22,5.363153195410983
Coefficient_23,-0.6540592486492901
Coefficient_24,0.9654426728936228
Coefficient_25,-0.686157124211647
Coefficient_26,-4.973154556597547
Coefficient_27,-12.082171183709463
Coefficient_28,-2.41977419420337
