Feature,Value
Intercept,447.8549207426471
Coefficient_1,4.4507154907636055
Coefficient_2,-2.57235637423931
Coefficient_3,-0.5046196566272663
Coefficient_4,-0.05567550310815861
Coefficient_5,-0.5006008187016202
Coefficient_6,4.600138446088974
Coefficient_7,19.719473523257303
Coefficient_8,2.0757064620843804
Coefficient_9,10.469801456055663
Coefficient_10,-0.08576836340203853
Coefficient_11,26.625738804801994
Coefficient_12,-1.5305271140043015
Coefficient_13,4.694691334409547
Coefficient_14,-2.852799611238499
Coefficient_15,-7.186987615041536
